PlotCode,AGB,Lat,Long,Area,Altitude,Midpoint,Continent,VPD,VPDmax,Srad,Srad.cv,MTWM,Alt.WC,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Min.temp,Max.temp,WarmMin,CloudSD,Cloud,Warm.rate,Warm.rate2,mcwd,ndry1,ndry2,wind,wind.max,CEC,Sand,Clay,pH,Rock.depth,Rhoriz.prob
MSH-01,259.7414544,-3.78,-73.5,1,114,1986.85,SA,0.523033074,0.600834818,13075.41667,0.096048356,26.62500038,119,26.16250005,9.741666635,83.26210256,44.47293458,31.69873099,20.025,11.70000076,26.19166667,25.70833308,26.59166692,25.525,2731,282,149,19.8554012,806,498,731,501,21.26539696,31.03333337,21.92499962,7.32,77.74,-0.012967773,-0.014199878,0,0,0,0.749999995,0.899999976,2.435074276,46.5,23.08333333,43.33333333,17.24,7
PTA-02,168.4303619,5.84,-67.45,1,90,2011.8985,SA,1.004042861,1.619500162,15992.83333,0.052053955,29.61000076,72,27.51833311,9.433333397,71.46464282,126.3442864,34.13093182,20.70999924,13.20000076,26.02666648,29.10999981,29.12666622,26.02666648,2340,441,18,75.62200268,1224,109,248,1224,23.02259824,32.23499981,25.41,11.2,72.81,0.007897427,0.008213537,-225,5,4,1.599999974,2.299999952,2.491827093,45.33333333,27.58333333,56.08333333,66.24,3
PTA-01,194.1118474,5.11,-67.74,1,135,2011.848,SA,0.877883443,1.401291735,16441.5,0.092047025,28.86,107,27.30166684,9.283333619,76.72176303,96.36184105,33.09060901,20.75999962,12.10000038,26.09333359,28.14333346,28.5433334,26.09333359,2756,462,21,66.45142298,1242,149,164,1242,22.89060904,31.94333365,24.75999962,12.11,71.49,0.008325517,0.00858943,-153,5,4,1.358333339,1.899999976,1.945910149,53.83333333,26.08333333,49.08333333,41.69,11
VCR-01,349.678711,-14.83,-52.16,0.64,303,2005.916,SA,0.853928249,1.36204091,16020.16667,0.070351889,26.49,301,24.82750025,14.85833391,71.09250153,144.7274051,34.98638866,13.49,20.90000153,25.60666679,22.77333346,26.10666648,22.74000032,1532,271,4,82.49554666,747,22,415,41,17.99472043,32.25666721,20.38999962,22.99,54.76,0.028851611,0.028513441,-403,9,6,1.349999994,1.600000024,1.884541203,66,23,51.75,32.79,9
BAR-01,327.481456,-11.9,-71.42,0.813,345,2004.262,SA,0.760720273,0.863894054,14445.08333,0.074112506,25.78999924,343,25.06083344,10.95833349,83.65139827,79.50009857,31.26469001,18.09000038,13.10000038,25.57333333,23.9233334,25.77333346,23.9233334,2568,359,81,48.10791416,1013,271,794,271,19.65635594,30.54000019,20.49,13.77,64.49,0.003101852,0.003877544,-32,3,2,1.091666689,1.200000048,2.427748236,50.58333333,24.66666667,50.08333333,28.06,14
PTA-04,105.9537765,5.84,-67.49,1,77,2011.8985,SA,0.998209534,1.619500162,16295.16667,0.068899791,29.63500076,64,27.53500006,9.23333327,71.02563012,124.972731,34.05593335,20.83499962,13.00000191,26.06833321,28.53499943,29.13500045,26.06833321,2545,463,20,74.30946843,1285,108,273,1285,23.13926525,32.1516667,25.53500038,12.03,66.78,0.007897427,0.008213537,-220,5,4,1.599999974,2.299999952,2.48490665,49.08333333,25.41666667,55,86.25,3
PTA-03,190.0015211,5.11,-67.74,1,92,2011.848,SA,0.876810066,1.391291745,16457.66667,0.092442866,29.01,94,27.5141666,9.224999746,76.23967693,97.12826158,33.34060748,21.01,12.09999847,26.29333346,28.34333333,28.75999968,26.29333346,2736,458,23,66.75525,1249,138,159,1249,23.13227574,32.12666648,25.01,11.48,70.94,0.008325517,0.00858943,-162,5,3,1.358333339,1.899999976,2.00372972,53.83333333,25.33333333,49.91666667,38.5,11
CHO-01,109.7485292,-14.39,-61.15,1,170,1998.995,SA,0.764338439,1.175946389,14812.91667,0.083264406,27.16,202,25.68499994,11.84999975,74.52829314,125.6890075,32.85216059,16.95999924,15.90000153,26.37666622,24.05999994,26.84333308,23.80999994,1473,261,12,73.80177572,708,55,511,86,19.75215989,31.60999981,21.76000038,23.42,56.62,0.00011544,-0.000560212,-342,8,5,2.408333341,2.799999952,2.285777975,55.66666667,21.83333333,52.33333333,26.06,17
CAT-02,148.7574244,8.44,-71.77,0.252,350,1979.138,SA,0.76351882,0.990982778,16188.83333,0.060640084,26.03500038,437,25.4600001,9.699999809,85.84071207,51.36765384,30.71199947,19.53500038,11.29999924,25.76833333,24.90166686,25.935,24.70166673,1750,304,44,44.59748859,675,239,454,307,20.48700004,30.31,21.23499924,1.31,96.22,0.020880231,0.020982625,-90,2,2,1.808333327,1.899999976,2.885731378,41.33333333,37.16666667,57,36.43,22
CAT-03,294.6542791,8.44,-71.77,0.252,380,1979.138,SA,0.76351882,0.990982778,16188.83333,0.060640084,25.88500038,437,25.3100001,9.699999809,85.84071207,51.36765384,30.56199947,19.38500038,11.29999924,25.61833333,24.75166686,25.785,24.55166673,1750,304,44,44.59748859,675,239,454,307,20.33700004,30.16,21.08499924,1.31,96.22,0.020880231,0.020982625,-90,2,2,1.808333327,1.899999976,2.885731378,41.33333333,37.16666667,57,36.43,22
HCU-01,416.4244057,8.36,-71.69,0.252,1150,1975.2005,SA,0.608353411,0.774583071,16709.16667,0.060898309,21.70500076,851,21.09250002,9.341667016,84.9242456,51.79176886,26.19938038,15.40499962,11,21.3216666,20.55499987,21.55500019,20.33833333,1475,202,42,41.86828712,496,166,413,194,16.21604727,25.76333352,17.005,1.91,95.78,0.020880231,0.020982625,-134,6,4,1.741666655,1.899999976,3.245193133,40.08333333,34.16666667,55.41666667,14.15,40
HBO-01,474.1714683,8.71,-71.45,0.25,560,1968.2065,SA,0.520663783,0.658204106,16756.66667,0.067845043,24.82500038,1105,24.27500015,9.350000461,83.48214839,53.21482086,29.21532285,18.42499981,11.19999981,24.50833314,23.6750006,24.74166673,23.50833362,1328,171,48,39.13253678,457,156,403,178,19.19032315,28.95000038,20.225,0.87,99.04,0.02457672,0.02439496,-168,9,5,2.133333325,2.299999952,2.782951509,47.33333333,25.83333333,56.5,128.97,23
CRZ-01,135.1979547,8.83,-71.86,1,60,1971.692,SA,1.076619207,1.351735381,16852.66667,0.047393282,29.29,18,28.61916641,9.224999746,83.86364859,58.67699426,33.61542708,22.89000038,10.99999809,28.40666679,27.95666667,29.13999943,27.77333327,1633,182,50,32.60042951,524,237,467,327,23.73209515,33.23166629,24.68999962,7.11,71.18,0.020531506,0.020632055,-63,4,4,2.333333333,2.599999905,2.953172659,42.16666667,28.5,56.75,45.7,12
PAK-01,216.8268803,-11.94,-71.28,1,345,2002.22575,SA,0.754253352,0.854870873,14571.83333,0.074743405,25.85999924,357,25.02250002,10.85833343,82.88803903,81.21588056,31.22679398,18.06,13.10000038,25.56,23.86000051,25.72666667,23.86000051,2663,373,85,47.95231832,1053,285,823,285,19.6601269,30.45166673,20.56,13.9,66.95,0.003101852,0.003877544,-22,3,2,1.100000014,1.299999952,2.614959778,48.08333333,26.16666667,49.66666667,30.9,15
PTA-05,187.9913588,5.84,-67.45,1,90,2013.079,SA,1.003209529,1.619500162,16039.83333,0.054012047,29.61000076,72,27.52249979,9.425000032,71.40151127,125.8268087,34.1406279,20.70999924,13.20000076,26.04333321,29.10999981,29.12666622,26.04333321,2312,423,18,74.72438843,1199,111,250,1199,23.04062768,32.23499981,25.41,10.75,72.46,0.007897427,0.008213537,-223,5,4,1.599999974,2.299999952,2.420368129,47.33333333,26.16666667,56.33333333,68.67,1
PTA-06,175.162034,5.84,-67.45,1,90,2013.079,SA,1.004042861,1.619500162,15992.83333,0.052053955,29.61000076,72,27.51833311,9.433333397,71.46464282,126.3442864,34.1406279,20.70999924,13.20000076,26.02666648,29.10999981,29.12666622,26.02666648,2340,441,18,75.62200268,1224,109,248,1224,23.03229432,32.23499981,25.41,11.2,72.81,0.007897427,0.008213537,-225,5,4,1.599999974,2.299999952,2.491827093,45.33333333,27.58333333,56.08333333,66.24,3
PTA-07,199.3587575,5.78,-67.46,1,90,2013.079,SA,0.94789486,1.548032424,16678.5,0.08555156,29.34999962,80,27.27499989,9.166666826,71.61457817,119.5921214,33.58062943,20.55000038,12.80000114,25.84999994,28.21666673,28.80000006,25.84999994,2502,444,13,76.03213999,1225,75,245,1225,22.92229438,31.8583333,25.24999924,11.97,72.48,0.007897427,0.008213537,-272,5,4,1.558333317,2.200000048,2.427748236,44.08333333,30.33333333,54.58333333,36.81,6
PTA-08,179.3119073,5.78,-67.46,1,90,2013.079,SA,0.93954554,1.534448348,16531.83333,0.07573944,29.33999924,98,27.28999976,9.133333365,71.91601723,119.6206241,33.57062714,20.64000038,12.69999886,25.85666629,28.2233334,28.82333346,25.85666629,2582,444,18,74.15740688,1225,89,270,1225,22.95396098,31.85666644,25.33999924,12.27,72.06,0.007897427,0.008213537,-245,5,4,1.558333317,2.200000048,2.470920408,44.58333333,30.58333333,54.33333333,39.57,7
BAC-07,340.9452597,7.46,-71.01,0.5,141,2010.619115,SA,0.990587313,1.378451863,17035.83333,0.084367814,28.065,154,27.03166686,8.550000191,82.21154331,51.62509305,32.43861138,21.66500038,10.39999962,26.58166673,26.98166698,27.73166667,26.46500025,1960,317,17,64.08539932,862,89,265,834,23.13027815,31.30666695,24.065,11.93,73.25,0.014464887,0.014583306,-244,6,4,1.725000004,2.099999905,2.596497715,40.16666667,32.33333333,53.08333333,55.39,7
BAC-08,253.8779256,7.46,-71.01,0.5,143,2010.618517,SA,0.987804876,1.388451853,17046.5,0.086887595,28.06,155,27.00166676,8.51666673,81.11111172,52.77883265,32.43360266,21.56,10.5,26.42666679,26.96000025,27.70999994,26.42666679,1886,321,17,64.82437755,823,76,257,823,23.11693606,31.26000013,24.06,12.29,73.44,0.014464887,0.014583306,-256,6,4,1.725000004,2.099999905,2.596497715,40.16666667,32.33333333,53.08333333,55.39,7
